annual_income_k,spending_score,cluster
34.0,82.9,1
28.9,84.5,1
35.2,88.7,1
42.2,88.4,1
28.1,69.0,1
28.1,72.5,1
42.6,84.1,1
36.1,84.1,1
26.2,84.1,1
34.3,100.0,1
26.3,84.6,1
26.3,89.1,1
31.9,87.6,1
15.0,85.2,1
16.2,77.5,1
25.5,86.1,1
21.9,73.8,1
32.5,78.1,1
22.7,76.1,1
18.7,80.7,1
41.7,98.5,1
28.2,65.1,1
30.5,85.5,1
18.6,67.1,1
25.6,76.2,1
30.9,88.7,1
20.8,80.5,1
33.0,71.4,1
25.2,74.3,1
27.7,85.4,1
25.2,74.2,1
44.8,81.7,1
29.9,80.4,1
21.5,74.8,1
36.6,97.2,1
20.2,85.1,1
31.7,63.8,1
15.0,81.5,1
19.4,74.7,1
31.6,86.8,1
35.9,73.7,1
31.4,79.1,1
29.1,84.0,1
27.6,86.9,1
18.2,70.4,1
24.2,77.3,1
26.3,76.2,1
38.5,74.8,1
32.7,94.1,1
15.9,83.2,1
32.6,69.9,1
26.9,87.3,1
24.6,97.0,1
34.9,88.3,1
38.2,67.8,1
37.5,76.1,1
23.3,90.1,1
27.5,74.3,1
32.7,83.6,1
37.8,86.2,1
26.2,72.6,1
28.5,79.5,1
21.1,54.1,1
20.4,71.8,1
36.5,78.0,1
40.8,70.0,1
29.4,93.1,1
38.0,68.6,1
32.9,76.5,1
24.8,81.0,1
32.9,91.5,1
42.3,68.5,1
29.7,89.3,1
42.5,80.1,1
15.0,72.1,1
36.6,83.7,1
30.7,81.6,1
27.6,75.2,1
30.7,80.6,1
15.0,76.9,1
28.2,80.9,1
32.9,85.3,1
41.8,92.7,1
25.9,70.1,1
23.5,97.1,1
26.0,64.4,1
37.3,78.8,1
32.6,84.7,1
25.8,82.2,1
34.1,75.0,1
30.8,78.3,1
37.7,76.1,1
24.4,75.3,1
27.4,86.8,1
26.9,82.9,1
18.3,74.5,1
32.4,87.2,1
32.1,82.5,1
30.0,86.5,1
28.1,85.0,1
18.7,73.4,1
26.6,75.5,1
27.3,86.0,1
23.6,84.9,1
28.7,79.8,1
33.2,80.9,1
45.1,90.2,1
31.4,75.3,1
32.1,84.4,1
29.4,78.4,1
15.0,78.3,1
29.8,88.8,1
30.5,86.6,1
49.7,86.5,1
28.5,90.4,1
32.4,80.2,1
29.7,85.5,1
20.7,77.5,1
39.1,82.6,1
36.0,79.0,1
36.3,80.8,1
22.7,84.8,1
41.2,73.5,1
18.8,96.7,1
34.7,72.0,1
47.5,70.3,1
22.1,89.3,1
25.5,86.3,1
30.8,85.0,1
26.0,85.0,1
17.6,79.9,1
30.5,72.8,1
21.5,80.6,1
33.8,74.6,1
22.6,87.8,1
42.4,78.8,1
23.7,73.4,1
27.4,77.4,1
36.5,83.3,1
20.2,75.5,1
31.8,73.4,1
40.5,81.9,1
17.1,82.0,1
31.5,75.9,1
32.1,76.2,1
36.3,81.9,1
20.1,68.4,1
19.4,68.7,1
34.2,74.3,1
32.4,78.3,1
32.0,82.5,1
32.8,91.8,1
24.6,86.9,1
31.9,78.7,1
32.3,79.8,1
24.3,72.0,1
44.9,79.9,1
33.8,77.7,1
20.5,82.6,1
35.3,73.4,1
22.2,84.2,1
36.3,92.3,1
39.3,79.1,1
23.4,83.2,1
37.7,85.5,1
33.3,76.8,1
36.6,81.8,1
45.2,80.1,1
28.0,80.8,1
24.0,73.8,1
22.9,80.2,1
23.5,84.0,1
29.4,91.6,1
32.7,87.7,1
32.2,97.2,1
36.6,73.9,1
30.1,87.0,1
41.6,81.5,1
